Product ID;Product Category;Product Subcategory;Product Name;Product Description;Product Price;Product Weight;Product Size;Order ID;Customer ID;Order Date;Order Status;Order Quantity;Order Total;Payment Method
1081;Hybrid Bikes;Commuter;CommutePro 1000;Efficient commuter hybrid bike;120.000 USD;270;M;2081;3081;19/02/2023;Shipped;2;240000;Credit Card
1082;Hybrid Bikes;Commuter;CommutePro 2000;High-performance commuter hybrid bike;150.000 USD;250;L;2082;3082;20/02/2023;Processing;1;150000;PayPal
1083;Road Bikes;Aero;AeroSpeed 1000;Aerodynamic road bike;280.000 USD;180;M;2083;3083;21/02/2023;Cancelled;3;840000;Credit Card
1084;Road Bikes;Aero;AeroSpeed 2000;Advanced aerodynamic road bike;320.000 USD;160;L;2084;3084;22/02/2023;Shipped;1;320000;Credit Card
1085;Touring Bikes;Recumbent;ReclineRider 1000;Comfortable recumbent touring bike;200.000 USD;330;M;2085;3085;23/02/2023;Processing;2;400000;PayPal
1086;Touring Bikes;Recumbent;ReclineRider 2000;High-performance recumbent touring bike;240.000 USD;300;L;2086;3086;24/02/2023;Shipped;1;240000;Credit Card
1087;Mountain Bikes;Downhill;DownhillDominator 1000;Downhill mountain bike;290.000 USD;340;M;2087;3087;25/02/2023;Shipped;2;580000;PayPal
1088;Mountain Bikes;Downhill;DownhillDominator 2000;High-performance downhill mountain bike;330.000 USD;320;L;2088;3088;26/02/2023;Processing;1;330000;PayPal
1101;Kids Bikes;Balance;LittleBalancer 1000;Starter balance bike for kids;15.000 USD;100;M;2101;3101;01/02/2023;Shipped;2;30000;Credit Card
1102;Kids Bikes;Balance;LittleBalancer 2000;Upgraded balance bike for kids;20.000 USD;90;L;2102;3102;02/02/2023;Processing;1;20000;PayPal
1103;BMX Bikes;Freestyle;FreestyleMaster 1000;Beginner freestyle BMX bike;40.000 USD;250;M;2103;3103;03/02/2023;Cancelled;3;120000;Credit Card
1104;BMX Bikes;Freestyle;FreestyleMaster 2000;Advanced freestyle BMX bike;60.000 USD;230;L;2104;3104;04/02/2023;Shipped;1;60000;Credit Card
1105;Mountain Bikes;Cross Country;XC-Rider 1000;Cross country mountain bike;180.000 USD;290;M;2105;3105;05/02/2023;Processing;2;360000;PayPal
1106;Mountain Bikes;Cross Country;XC-Rider 2000;High-performance cross country bike;240.000 USD;270;L;2106;3106;06/02/2023;Shipped;1;240000;Credit Card
1107;ROAD BIKES;Endurance;EnduranceElite 1000;Endurance road bike;210.000 USD;200;M;2107;3107;07/02/2023;Shipped;2;420000;PayPal
1108;Road Bikes;Endurance;EnduranceElite 2000;High-performance endurance road bike;260.000 USD;180;L;2108;3108;08/02/2023;Processing;1;260000;Credit Card
